iter	RMSE
0	0.9580543933
1	0.9191704536
2	0.8832450947
3	0.8467663853
4	0.8119897057
5	0.7795253805
6	0.747876684
7	0.7172468355
8	0.6890984798
9	0.6611820307
10	0.6356364861
11	0.6101688679
12	0.5855798919
13	0.5621869259
14	0.5397989948
15	0.5173850711
16	0.4977064583
17	0.4783930762
18	0.4591099337
19	0.441223658
20	0.4229779276
21	0.4059670044
22	0.3907758658
23	0.3759108702
24	0.3613636948
25	0.347290532
26	0.3339463528
27	0.3217405719
28	0.309195488
29	0.2968811069
30	0.2869513115
31	0.2762541711
32	0.2664115571
33	0.2563913061
34	0.246164613
35	0.2367308682
36	0.2278768578
37	0.220029731
38	0.2122076625
39	0.2048000318
40	0.1978241031
41	0.1912726251
42	0.1850775891
43	0.1783643504
44	0.1722772784
45	0.1672966602
46	0.161630412
47	0.1559007258
48	0.1503462536
49	0.1457743553
50	0.1413917144
51	0.1369766004
52	0.1321796626
53	0.1281837547
54	0.1243611787
55	0.1209481479
56	0.1173941748
57	0.1136904372
58	0.1101783238
59	0.1069063111
60	0.1038567099
61	0.1007253131
62	0.09788625323
63	0.09547799242
64	0.09280903635
65	0.09024007194
66	0.08796019204
67	0.08594397627
68	0.08392624537
69	0.08215012202
70	0.08012936956
71	0.07814702844
72	0.07632445957
73	0.07482410973
74	0.07323313076
75	0.07176572899
76	0.07022513232
77	0.06879092833
78	0.06754213876
79	0.06645000313
80	0.06516757153
81	0.06390551236
82	0.06265915497
83	0.06228766233
84	0.06101668876
85	0.06006920816
86	0.0588481276
87	0.05772107259
88	0.05679423187
89	0.05569909235
90	0.0547397513
91	0.05389495204
92	0.05365420067
93	0.05284304488
94	0.05241862766
95	0.05148134318
96	0.05096215477
97	0.0503964523
98	0.04965823218
99	0.04899076711
100	0.04848285331
101	0.04769128562
102	0.04714968888
103	0.04650467599
104	0.0461637731
105	0.04584221981
106	0.04536344522
107	0.04475621415
108	0.04441924229
109	0.04400039719
110	0.04346247073
111	0.04280387564
112	0.04251721762
113	0.04199082296
114	0.04171539271
115	0.0414394238
116	0.0407134064
117	0.04050752802
